file,reuseCount
20160610_cache.txt,0
20160710_cache.txt,0
20160810_cache.txt,0
20160910_cache.txt,0
20161010_cache.txt,0
20161110_cache.txt,0
20161210_cache.txt,6
20170210_cache.txt,3
20170310_cache.txt,4
20170410_cache.txt,0
20170510_cache.txt,3
20170610_cache.txt.gz,0
20170710_cache.txt.gz,1
20170810_cache.txt.gz,0
20170910_cache.txt.gz,0
20171010_cache.txt.gz,0
20171116_cache.txt.gz,0
20171210_cache.txt.gz,0
20180110_cache.txt.gz,0
20180210_cache.txt.gz,0
20180310_cache.txt.gz,0
20180410_cache.txt.gz,0
20180510_cache.txt.gz,0
20180610_cache.txt.gz,0
20180710_cache.txt.gz,7
20180810_cache.txt.gz,0
20180910_cache.txt.gz,0
20181010_cache.txt.gz,4
20181210_cache.txt.gz,0
20190110_cache.txt.gz,3
20190210_cache.txt.gz,0
20190310_cache.txt.gz,1
20190410_cache.txt.gz,6
20190510_cache.txt.gz,9
20190610_cache.txt.gz,9
20190710_cache.txt.gz,0
20190810_cache.txt.gz,0
20190910_cache.txt.gz,0
20191010_cache.txt.gz,0
20191110_cache.txt.gz,2
20191210_cache.txt.gz,0
20200210_cache.txt.gz,0
20200310_cache.txt.gz,3
20200410_cache.txt.gz,0
20200510_cache.txt.gz,0
20200610_cache.txt.gz,0
20200710_cache.txt.gz,9
20200810_cache.txt.gz,9
20200910_cache.txt.gz,0
20201010_cache.txt.gz,0
20201110_cache.txt.gz,0
20201210_cache.txt.gz,0
